"candidate_id","contribution_year","contribution_max","contribution_min","contribution_avg","total","donation_count","donor_count"
65,2021,1600,1,19.573548387096757,3033.8999999999974,155,155
66,2017,4400,40,660.3846153846154,34340,52,52
66,2018,4400,10,344.6727272727273,75828,220,220
66,2019,4700,1,108.37096045197745,57544.980000000025,531,531
66,2020,4700,0.89,41.053388329280466,236385.40999999692,5758,5758
66,2021,4700,1,67.793567393059,83996.23000000011,1239,1239
66,2022,7500,1,139.6155368421053,66317.38000000002,475,475
67,2017,1500,15,352.26063829787233,66225,188,188
67,2018,2760,10,421.70873786407765,43436,103,103
67,2019,4700,1,678.6511627906976,87546,129,129
67,2020,4700,5,558.7457264957264,130746.5,234,234
67,2021,100,100,100,200,2,2
67,2022,1000,15,171.66666666666666,3090,18,18
68,2017,2000,25,681,17025,25,25
68,2018,2000,25,331.32911392405066,26175,79,79
68,2019,2000,5,181.73529411764707,6179,34,34
68,2020,2500,3,223.88392857142858,25075,112,112
68,2021,2000,1.3,123.63336363636364,13599.67,110,110
68,2022,2000,3,532,2128,4,4
72,2017,5290,100,553.941798941799,104695,189,189
72,2018,4400,75,453.675,90735,200,200
72,2019,4700,76,577.8923076923077,75126,130,130
72,2020,3400,100,923.45,18469,20,20
72,2021,4700,100,576.4957264957264,67450,117,117
72,2022,790,790,790,790,1,1
73,2017,2000,100,757.2368421052631,28775,38,38
73,2018,4400,18,495.2994652406417,92621,187,187
73,2019,5000,75,586.5591397849462,54550,93,93
73,2020,4500,50,750.0352777777778,54002.54,72,72
73,2021,4700,25,637.5,35700,56,56
76,2017,4950,1.25,477.16985645933016,199457,418,418
76,2018,4950,10,525.8878326996198,276617,526,526
76,2019,10000,3,568.2916666666666,300058,528,528
76,2020,35000,5,699.0715562403697,453697.43999999994,649,649
76,2021,30000,1,718.3006271777004,618456.8400000001,861,861
76,2022,50,50,50,50,1,1
77,2019,15000,5,1368.0232558139535,117650,86,86
77,2020,20000,1,506.7119266055046,110463.2,218,218
77,2021,4700,1,534.4957627118644,126141,236,236
77,2022,4700,10,504.86842105263156,19185,38,38
79,2018,4400,2,772.6310160427807,144482,187,187
79,2019,4700,20,486.11842105263156,36945,76,76
79,2020,4700,10,871.2816901408451,61861,71,71
79,2021,4700,20,362.25,63756,176,176
79,2022,1000,10,123,3690,30,30
80,2017,700,4.51,280.505,1122.02,4,4
81,2017,1000,200,427.27272727272725,4700,11,11
81,2018,3400,150,950,8550,9,9
81,2019,1000,1000,1000,2000,2,2
81,2020,3400,290,1396.6666666666667,4190,3,3
84,2017,2500,5,313.73731343283583,42040.8,134,134
84,2018,2500,15,456.9642857142857,51180,112,112
84,2019,10000,5,586.6666666666666,89760,153,153
84,2020,4700,10,872.7,34908,40,40
84,2021,4700,5,627.4907407407408,67769,108,108
84,2022,4700,10,812.4074074074074,43870,54,54
85,2017,4400,1000,2700,5400,2,2
85,2018,4400,50,549.9752083333333,79196.43,144,144
85,2019,1000,100,585.7142857142857,4100,7,7
85,2020,4700,5,369.51769911504425,41755.5,113,113
85,2021,1000,25,151.47058823529412,2575,17,17
85,2022,1000,25,289.1818181818182,3181,11,11
86,2017,1500,50,450,16650,37,37
86,2018,4400,1,247.775,39644,160,160
86,2019,1000,5,296.3666666666667,17782,60,60
86,2020,2000,10,174.7045045045045,19392.2,111,111
89,2017,200,25,95,950,10,10
89,2018,4400,10,320.9248372093023,68998.84,215,215
96,2017,2400,5,270.1638157894737,20532.45,76,76
96,2018,10000,20,462.4055319148936,43466.119999999995,94,94
96,2019,4100,5,287.95180722891564,23900,83,83
96,2020,4700,24.01,1099.6797916666667,52784.63,48,48
99,2017,1000,47.93,389.45722222222224,7010.2300000000005,18,18
99,2018,4400,39,730.7444594594594,54075.09,74,74
99,2019,2000,250,579.2737931034484,16798.940000000002,29,29
100,2017,2000,50,513.9376,25696.88,50,50
100,2018,2500,100,759.6330275229358,82800,109,109
100,2019,2500,100,722.680412371134,70100,97,97
100,2020,3700,250,1146.6666666666667,17200,15,15
100,2021,4700,500,2014.2857142857142,28200,14,14
101,2017,4400,25,599.6153846153846,93540,156,156
101,2018,3044,25,546.8174273858921,131783,241,241
101,2019,2000,10,341.7455621301775,115510,338,338
101,2020,5000,1.88,457.6695081967213,83753.52,183,183
101,2021,4700,25,892.5156737588653,125844.71,141,141
101,2022,2500,25,633.9083333333333,38034.5,60,60
102,2017,1500,50,281.45569620253167,22235,79,79
102,2018,4400,25,393.1609195402299,34205,87,87
102,2019,1000,250,437.5,3500,8,8
102,2020,500,75,241.25,4825,20,20
102,2021,2500,25,357.265,35726.5,100,100
105,2020,10000,5,403.63007575757575,53279.17,132,132
105,2021,4000,25,345.43391304347824,15889.96,46,46
105,2022,25,25,25,25,1,1
107,2017,7000,20,653.359375,83630,128,128
107,2018,8000,20,820.8790534979423,199473.61,243,243
107,2019,7500,25,889.402087912088,242806.77000000002,273,273
107,2020,5000,25,902.4725274725274,82125,91,91
107,2021,10000,1,1148.0330000000001,229606.6,200,200
107,2022,1000,1,722.3333333333334,6501,9,9
108,2017,7000,25,762.7112631578948,72457.57,95,95
108,2018,10300,24.01,789.9172455089822,131916.18000000002,167,167
108,2019,7000,25,806.5889147286822,104049.97,129,129
108,2020,10000,10,1130.5281690140846,80267.5,71,71
108,2021,7500,1,825.7096774193549,76791,93,93
108,2022,500,500,500,500,1,1
109,2017,62.67,62.67,62.67,62.67,1,1
109,2018,39859.8,0,127.92010452218499,599689.4500000032,4688,4688
109,2019,7000,1,204.49733407079626,184865.58999999982,904,904
109,2020,7500,1,139.6112150279777,174653.6300000001,1251,1251
109,2021,10219.5,3,276.28878331402086,238437.22,863,863
109,2022,7245.67,6,416.764647887324,29590.29,71,71
111,2017,91861,1,116.62899709302326,160481.5,1376,1376
111,2018,87.81,39.03,66.66333333333334,199.99,3,3
111,2019,1000,1,58.54337423312884,28627.710000000003,489,489
111,2020,11800,1,27.466266702297656,308336.3099999935,11226,11226
111,2021,1000,1,17.127502824858798,15157.840000000037,885,885
114,2017,3000,5,266.42857142857144,24245,91,91
114,2018,7000,5,288.6457680250784,92078,319,319
114,2019,4000,3,358.24632352941177,97443,272,272
114,2020,5000,0.06,293.40303886925795,83033.06,283,283
114,2021,5000,5,303.3333333333333,47320,156,156
117,2017,10000,25,1243.7929389312976,325873.75,262,262
117,2018,10000,25,1438.6607446808512,405702.33,282,282
117,2019,10000,5,1152.2830786026202,527745.65,458,458
117,2020,19300,1,667.9293561103806,508294.23999999964,761,761
117,2021,11800,1,1099.0292383292392,447304.9000000003,407,407
117,2022,10000,20,2477.6470588235293,42120,17,17
121,2017,11000,20,558.1301132075471,147904.47999999998,265,265
121,2018,7000,10,651.1241126760564,231149.06,355,355
121,2019,11000,3,667.491328125,256316.67,384,384
121,2020,7500,5,551.5188704318937,166007.18,301,301
121,2021,10000,10,334.4029850746269,67215,201,201
121,2022,5000,25,609.9583333333334,43917,72,72
125,2017,11000,1.3,812.4832116788322,111310.20000000001,137,137
125,2018,11000,1.4,522.1254901960784,26628.4,51,51
125,2019,2000,100,783.3333333333334,2350,3,3
125,2020,11800,1,885.68,66426,75,75
125,2021,7500,5,815.531914893617,38330,47,47
125,2022,10000,10,574.4749034749035,148789,259,259
127,2017,5000,6.23,962.2274603174603,60620.33,63,63
127,2018,8500,3.9,1154.9830555555554,41579.39,36,36
127,2019,5000,6.52,712.7406849315068,52030.07,73,73
127,2020,10000,2.11,855.322365591398,79544.98000000001,93,93
127,2021,7500,25,506.1970731707317,62262.24,123,123
