Candidate_ID,Contribution_Year,Contribution_Max,Contribution_Min,Contribution_Avg,Total,Donation_Count,Donor_Count
49,2018,4400,10,341.3541436,61785.1,181,165
49,2019,4700,10,261.1380753,62412,239,217
49,2020,1000,25,328.8461538,4275,13,13
50,2016,4400,100,798.7298077,83067.9,104,98
50,2017,5000,86.12,1120.854891,153557.12,137,124
50,2018,4400,50,712.5827815,107600,151,145
50,2019,5000,72.4,868.8470588,88622.4,102,95
50,2020,4700,100,1068.292683,43800,41,38
51,2017,750,30,170.8116667,2049.74,12,12
51,2018,5000,0.28,231.0904274,108150.32,468,336
51,2019,1863.02,1.5,137.5766116,16646.77,121,102
51,2020,1337.49,10,110.8272619,9309.49,84,68
52,2016,2500,25,205.7463768,113572,552,479
52,2017,17560,40,272.7708333,65465,240,203
52,2018,2200,1,213.2506395,73358.22,344,271
52,2019,2500,10,177.9689441,57306,322,269
52,2020,1500,10,164.7881356,19445,118,96
53,2018,4400,5,1086.020403,269333.06,248,236
53,2019,4700,50,1231.779661,72675,59,57
53,2020,4700,50,906.0881081,33525.26,37,37
54,2016,4400,16.82,490.102141,187709.12,383,274
54,2017,4400,58.36,538.4353846,118994.22,221,177
54,2018,5000,5.53,514.09952,192787.32,375,264
54,2019,4700,75,603.5538247,151492.01,251,176
54,2020,4700,50,663.4340659,120745,182,131
55,2019,2000,5,119.2553797,18842.35,158,100
55,2020,4700,1,53.45815598,73344.59,1372,682
56,2019,3700,2,84.98482927,17421.89,205,172
56,2020,4700,1,28.2027636,91743.59,3253,2173
57,2016,4400,25,251.8584768,38030.63,151,126
57,2017,1000,25,142.3608247,13809,97,81
57,2018,2000,20,208.7815126,24845,119,107
57,2019,1500,10,159.3333333,7648,48,43
57,2020,1220,25,182.2641509,19320,106,98
58,2016,4400,20,675.2352941,57395,85,76
58,2017,4400,50,701.3157895,53300,76,61
58,2018,4400,25,887.1888889,79847,90,77
58,2019,4700,25,580.3308824,78925,136,113
59,2016,2000,100,714.7727273,15725,22,22
59,2017,4400,25,542.4292174,62379.36,115,106
59,2018,2500,50,586.3095238,24625,42,40
59,2019,4700,50,671.6648352,122243,182,154
59,2020,2000,250,1312.5,5250,4,4
60,2016,4400,5,634.2238462,123673.65,195,175
60,2017,1000,47.93,389.4572222,7010.23,18,17
60,2018,4400,39,730.7444595,54075.09,74,65
60,2019,2000,250,579.2737931,16798.94,29,28
61,2020,10000,5,376.3433333,47419.26,126,107
62,2019,800,1,53.262,15978.6,300,234
62,2020,4700,1,30.50547037,164729.54,5400,3634
63,2016,4400,100,500.1234568,81020,162,140
63,2017,4400,100,528.75,99405,188,163
63,2018,4400,100,420.388601,81135,193,172
63,2019,4700,100,581.7829457,75050,129,122
63,2020,2500,100,854.9285714,11969,14,13
64,2016,4400,25,405.1388889,43755,108,104
64,2017,1500,50,281.4556962,22235,79,69
64,2018,4400,25,393.1609195,34205,87,73
64,2019,1000,250,437.5,3500,8,8
64,2020,500,75,241.25,4825,20,20
65,2016,4000,4000,4000,4000,1,1
65,2018,4400,5,207.7238806,27835,134,108
66,2018,5000,20,402.2356495,133140,331,290
66,2019,2500,25,455.0819672,27760,61,54
66,2020,4000,4,278.0301003,83131,299,263
67,2018,3500,5,156.4181865,60377.42,386,363
67,2019,1500,25,241.9794737,18390.44,76,75
67,2020,1000,10,239.9122807,13675,57,54
68,2016,2500,15,300.7437166,112478.15,374,304
68,2017,4321,25,339.9482692,88386.55,260,200
68,2018,3500,25,362.5746269,97170,268,219
68,2019,4000,25,367.9525424,108546,295,233
68,2020,4700,20,367.3848797,106909,291,245
69,2019,5000,25,341.8961404,77952.32,228,216
69,2020,5000,5,586.3419558,185870.4,317,283
70,2016,4400,1,386.7112235,382457.4,989,800
70,2017,4400,40,660.3846154,34340,52,49
70,2018,4400,10,344.6727273,75828,220,209
70,2019,4700,1,108.0893996,57611.65,533,470
70,2020,4700,1,41.71841742,235667.34,5649,4478
71,2016,6300,18,388.0326409,130767,337,308
